timestamp,open,high,low,close,volume,delta,delta_pct,cvd,whale_buy_pct,whale_sell_pct,rejection_bot,rejection_top,candle_type
2025-04-07 10:30:00,77241.08,77540.0,76806.0,76983.6,82108278.7565,-3618447.4571,-0.0441,-1659148769.1844,0.3865,0.4312,0.1498,0.1168,Continuação
2025-04-07 11:00:00,76983.61,77400.0,76906.8,77086.96,52838672.4513,397776.9147,0.0075,-1658750992.2698,0.4244,0.4041,0.2684,0.0726,Continuação
2025-04-07 11:30:00,77086.96,77120.0,76423.27,76685.62,60392843.8015,-12571150.5669,-0.2082,-1671322142.8366,0.3215,0.502,0.2653,0.0597,Continuação
2025-04-07 12:00:00,76685.62,77485.62,76410.62,77438.14,85813105.6721,-1253032.2634,-0.0146,-1672575175.1,0.405,0.4035,0.2965,0.2053,Continuação
2025-04-07 12:30:00,77438.13,77666.0,76725.45,77335.89,122467456.3379,-1026139.2817,-0.0084,-1673601314.3817,0.3938,0.4159,0.1183,0.1903,Continuação
2025-04-07 13:00:00,77335.88,77386.34,76814.0,76875.99,74178912.3368,-5440099.5379,-0.0733,-1679041413.9196,0.3825,0.4359,0.1268,0.1296,Continuação
2025-04-07 13:30:00,76875.99,78498.93,75789.01,78365.47,292284840.5674,12280588.8495,0.042,-1666760825.0701,0.3844,0.332,0.2207,0.2194,Continuação
2025-04-07 14:00:00,78365.48,81243.58,77870.01,78115.2,813880036.4903,13790879.4784,0.0169,-1652969945.5917,0.3513,0.3299,0.2594,0.142,Continuação
2025-04-07 14:30:00,78115.2,79966.12,77912.59,79033.11,381979696.1298,16885359.4978,0.0442,-1636084586.0939,0.3609,0.3112,0.315,0.0741,Continuação
2025-04-07 15:00:00,79033.11,79376.0,77530.0,78019.9,285867493.2917,-17442508.3814,-0.061,-1653527094.4753,0.3231,0.3726,0.263,0.1718,Continuação
2025-04-07 15:30:00,78019.91,79081.34,78019.9,78479.9,118788463.7531,-485514.4284,-0.0041,-1654012608.9037,0.3717,0.3909,0.0833,0.2257,Continuação
